category_slug,subcategory,fee_eur,eur_per_point,max_entries_marginal_rule,optimal_n_net_profit,expected_net_profit_eur_at_optimal_n,implied_breakeven_eur_per_point_first_entry,max_entries_relative_marginal_floor,marginal_relative_floor,structural_ceiling_metal_rows,festival_years_sampled
design,"D02i - Small Business",1140,1,0,0,0,1572.4138,13,0.15,2,1
design,"D02iii - Large Business",1140,1,0,0,0,3140.4959,14,0.15,1,1
design,"D03i - Posters",1140,1,0,0,0,14074.0741,15,0.15,1,1
design,"D04 - Active Sportswear & Sports Equipment",1140,1,0,0,0,712.5,14,0.15,1,1
design,"D04i - Spatial Installation",1140,1,0,0,0,1544.7154,6,0.15,3,1
design,"D04ii - Sculptural",1140,1,0,0,0,10754.717,4,0.15,1,1
design,"D05 - Public Space",1140,1,0,0,0,2171.4286,15,0.15,1,1
design,"D06 - Wayfinding & Signage",1140,1,0,0,0,3725.4902,15,0.15,1,2
design,"D09 - Live Events",1140,1,0,0,0,1425,10,0.15,2,1
design,"E01iii - Premium Brand",1140,1,0,0,0,3444.1088,14,0.15,1,1
design,"E02iii - Premium Brand",1140,1,0,0,0,5352.1127,20,0.15,1,1
design,"E03iii - Premium Brand",1140,1,0,0,0,5700,15,0.15,1,1
design,"E08 - 3D Structural Design",1140,1,0,0,0,6745.5621,4,0.15,3,1
design,"F01 - Website",1140,1,0,0,0,3040,20,0.15,4,1
design,"F01 - Well-Being & Environmental Impact",1140,1,0,0,0,670.5882,7,0.15,3,1
design,"F03 - Digital Installations",1140,1,0,0,0,4237.9182,8,0.15,2,1
design,"G01 - Solution",1140,1,0,0,0,1470.9677,10,0.15,1,1
design,"H01 - Interface",1140,1,0,0,0,690.9091,14,0.15,1,1
direct,"A01 - Flat Mailing",1140,1,0,0,0,3800,4,0.15,1,1
direct,"A02 - Dimensional Mailing",1140,1,0,0,0,6993.865,4,0.15,3,1
direct,"A03 - Targeted Ambient Media: Small Scale",1140,1,0,0,0,5700,4,0.15,5,1
direct,"A04 - Targeted Ambient Media: Large Scale",1140,1,0,0,0,4935.0649,2,0.15,5,1
direct,"A05 - Direct response broadcast: TV, radio & infomercials",1140,1,0,0,0,6514.2857,10,0.15,2,1
direct,"A06 - Direct Response Print or Standard Outdoor (incl.Inserts)",1140,1,0,0,0,3507.6923,4,0.15,3,1
direct,"B01 - Use of Dgital Marketing",1140,1,0,0,0,3089.4309,8,0.15,5,1
direct,"B02 - Use of Mobile Marketing",1140,1,0,0,0,6298.3425,3,0.15,3,1
direct,"B03 - Use of New Technology in a Direct Marketing Campaign",1140,1,0,0,0,2118.9591,5,0.15,2,1
direct,"B05 - Response/Real-Time Activity",1140,1,0,0,0,1425,5,0.15,2,1
direct,"B06 - Use of Social Audience in a Direct Marketing Campaign",1140,1,0,0,0,2280,6,0.15,7,1
direct,"C01 - Acquisitions",1140,1,0,0,0,3040,10,0.15,4,1
direct,"C02 - Retention",1140,1,0,0,0,2072.7273,7,0.15,1,1
direct,"C03 - Product Launch/Re-launch",1140,1,0,0,0,2938.1443,11,0.15,3,1
direct,"D01 - Fast Moving Consumer Goods",1140,1,0,0,0,3642.1725,5,0.15,4,1
direct,"D02 - Cars & Automotive Services",1140,1,0,0,0,2992.126,10,0.15,3,1
direct,"D03 - Other Consumer Products (including Durable Goods)",1140,1,0,0,0,18095.2381,9,0.15,1,1
direct,"D04 - Financial Products & Services",1140,1,0,0,0,7600,8,0.15,2,1
direct,"D05 - Commercial Public Services, incl. Healthcare & Medical",1140,1,0,0,0,3257.1429,8,0.15,1,1
direct,"D06 - Travel, Entertainment & Leisure",1140,1,0,0,0,2850,7,0.15,1,1
direct,"D07 - Retail & E-Commerce, including Restaurants",1140,1,0,0,0,2720.7637,7,0.15,4,1
direct,"D08 - Publications & Media",1140,1,0,0,0,6745.5621,8,0.15,3,1
direct,"D09 - Business Products & Services",1140,1,0,0,0,2462.203,14,0.15,1,1
direct,"D10 - Corporate Image & Information",1140,1,0,0,0,11400,10,0.15,1,1
direct,"D11 - Charities (incl. Fundraising, Donations & Appeals)",1140,1,0,0,0,2400,3,0.15,3,1
direct,"D12 - Public Health & Safety, Public Awareness Messages",1140,1,0,0,0,1719.457,6,0.15,3,1
direct,"E01 - Integrated Campaign Led by Direct Marketing",1140,1,0,0,0,10088.4956,8,0.15,4,1
direct,"E02 - Costs/Creative Performance Direct Campaign",1140,1,0,0,0,2072.7273,8,0.15,3,1
direct,"F02 - Art Direction/Design for Direct",1140,1,0,0,0,3507.6923,4,0.15,1,1
direct,"F03 - Customer Journey",1140,1,0,0,0,3372.7811,12,0.15,2,1
entertainment,"A03 - Fiction: Online Series (minimum 3 episodes)",1545,1,0,0,0,2659.2083,19,0.15,4,1
entertainment,"A04 - Fiction: Online (15 minutes or under in length)",1545,1,0,0,0,3740.9201,9,0.15,6,1
entertainment,"A06 - Non-Fiction: TV & Broadcast",1545,1,0,0,0,7963.9175,20,0.15,1,1
entertainment,"A08 - Non-Fiction: Online Series (minumum 3 episodes)",1545,1,0,0,0,6035.1563,3,0.15,3,1
entertainment,"A09 - Non-Fiction: Online (15 minutes or under in length)",1545,1,0,0,0,3921.3198,7,0.15,9,1
entertainment,"A11 - Brand or product integration into an existing programme or platform",1545,1,0,0,0,2871.7472,4,0.15,6,1
entertainment,"A12 - Original User-generated content",1545,1,0,0,0,1945.8438,14,0.15,3,1
entertainment,"A13 - Branded Live experience",1545,1,0,0,0,3805.4187,4,0.15,10,1
entertainment,"A14 - Original Use of Music",1545,1,0,0,0,2207.1429,16,0.15,7,1
entertainment,"A15 - Original Printed Content",1545,1,0,0,0,2207.1429,6,0.15,3,1
entertainment,"A16 - Original Game/Gaming",1545,1,0,0,0,3981.9588,8,0.15,2,1
entertainment,"A17 - Original Branded Digital or Social Media",1545,1,0,0,0,3433.3333,3,0.15,7,1
entertainment,"A18 - Integrated Campaign led by Content Platform",1545,1,0,0,0,4414.2857,19,0.15,2,1
film,"A02 - Sweet Foods & Snacks",1545,1,0,0,0,4843.2602,9,0.15,6,2
film,"A03 - Alcoholic Drinks",1545,1,0,0,0,2399.0683,20,0.15,4,3
film,"A04 - Non-Alcoholic Drinks",1545,1,0,0,0,6180,3,0.15,3,3
film,"A05 - Household Goods, Home Appliances & Furnishings",1545,1,0,0,0,5743.4944,12,0.15,5,1
film,"A06 - Toiletries, Cosmetics & Beauty",1545,1,0,0,0,3805.4187,6,0.15,5,1
film,"A08 - Clothing, Footwear & Accessories",1545,1,0,0,0,4753.8462,11,0.15,10,3
film,"A10 - Cars, Other Vehicles, Auto Products & Services",1545,1,0,0,0,3165.9836,8,0.15,7,1
film,"A11 - Home Electronics & Audio-Visual",1545,1,0,0,0,6866.6667,13,0.15,1,1
film,"A12 - Retail Stores",1545,1,0,0,0,4491.2791,11,0.15,7,1
film,"A13 - Restaurants & Fast Food Outlets",1545,1,0,0,0,5743.4944,5,0.15,2,1
film,"A14 - Travel, Transport & Tourism",1545,1,0,0,0,5874.5247,9,0.15,2,1
