year,category_slug,level2,level3,entries,status,url
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A07: Not-for-Profit / Charity / Government,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A07%3A+Not-for-Profit+%2F+Charity+%2F+Government
2025,brand-experience-activation,Culture & Context,E01: Local Brand,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E01%3A+Local+Brand
2025,brand-experience-activation,Culture & Context,E02: Challenger Brand,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E02%3A+Challenger+Brand
2025,brand-experience-activation,Culture & Context,E03: Single-Market Campaign,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E03%3A+Single-Market+Campaign
2025,brand-experience-activation,Culture & Context,E04: Social Behaviour,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E04%3A+Social+Behaviour
2025,brand-experience-activation,Culture & Context,E05: Use of Humour,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E05%3A+Use+of+Humour
2025,brand-experience-activation,Culture & Context,E06: Breakthrough on a Budget,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E06%3A+Breakthrough+on+a+Budget
2025,brand-experience-activation,Culture & Context,E07: Corporate Purpose & Social Responsibility,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E07%3A+Corporate+Purpose+%26+Social+Responsibility
2025,brand-experience-activation,Culture & Context,E08: Market Disruption,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E08%3A+Market+Disruption
2025,brand-experience-activation,Culture & Context,E09: Cultural Engagement,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40E09%3A+Cultural+Engagement
